,Complexity,Adversity,Positive,Typicality,Importance,Humor,Negative
analytical,0.69,0.04,-0.1,0,0.06,0.04,0.01
complex,0.58,0.32,0,0,0.03,0,0
technical,0.64,0.17,-0.1,0.02,0.04,0.06,0
intricate,0.57,0.27,0.01,0,0.03,0.03,0
academic,0.81,0.01,0,0,0,0,0.09
intellectual,0.87,0,0.04,0.05,0,0,0
scholarly,0.85,0,0.01,0.02,0,0.02,0.09
scientific,0.71,0.01,0.04,0,0,0,0.2
educational,0.82,0,0.04,0,0.01,0,0
instructional,0.72,0.06,0.03,0,0.09,0,0
stressful,0.06,0.87,0,0,0,0,0
exhausting,0,0.95,0.02,0.02,0,0,0
tiring,0,0.94,0.02,0.04,0,0,0
difficult,0.11,0.77,0.04,0,0,0,0.07
fatiguing,0,0.87,0,0.01,0.01,0.02,0.04
strenuous,0.11,0.76,0,0.01,0,0.03,0.05
frustrating,0.03,0.8,0,0,0,0,0.02
grueling,0.15,0.67,0.02,0,0,0.01,0.16
tiresome,0,0.87,0,0.02,0.05,0.02,0
hectic,0,0.73,0.02,0,0.04,0.09,0.04
loving,0,0.03,0.86,0,0.06,0,0.02
heartwarming,0,0.01,0.89,0,0.01,0,0
cherished,0,0,0.91,0.01,0.02,0.02,0
joyful,0,0,0.83,0.01,0,0.05,0
precious,0,0.02,0.92,0.02,0,0,0
special,0.01,0,0.88,0,0.03,0,0.01
heavenly,0.04,0,0.85,0.04,0.01,0,0.13
magnificent,0.08,0,0.8,0.03,0,0.05,0.09
sentimental,0,0.07,0.81,0,0,0.07,0.02
affectionate,0.02,0.05,0.84,0,0,0.07,0.02
typical,0.07,0,0,0.71,0.04,0,0.01
predictable,0,0.06,0,0.69,0.05,0,0.05
common,0.03,0,0.04,0.84,0,0,0
average,0,0,0,0.78,0,0.08,0.03
regular,0,0.01,0.03,0.88,0.03,0,0
standard,0.02,0,0.06,0.86,0.01,0,0.01
normal,0.01,0,0.06,0.85,0.01,0,0
usual,0,0,0,0.82,0.01,0.01,0
ordinary,0,0.03,0,0.85,0,0.04,0
uneventful,-0.1,0.02,-0.1,0.51,0,0,0.12
crucial,0,0.19,0,0.07,0.51,0,0.13
important,0.01,0.13,0.09,0,0.75,0,0
effective,0.04,0.02,0.03,0.06,0.79,0,0
valuable,0.08,0,0.22,0,0.72,0,0
vital,0,0.06,0.08,0.03,0.61,0.01,0.06
useful,0,0,0,0.01,0.89,0,0.06
beneficial,0,-0.1,0,0,0.89,0,0.01
productive,0.03,0.01,0,0,0.87,0,0
helpful,0.04,0,0.02,0,0.79,0.07,0
functional,0.06,0.02,0,0.09,0.73,0.04,0
funny,0,0,0.28,0,0,0.67,0
silly,0,0.02,0.13,0,0,0.87,-0.1
goofy,0.01,0.02,0.15,0,0.01,0.85,0
nutty,0,0,0.02,0.01,0,0.9,0.04
wacky,0.02,0,0,0,0.02,0.89,0.04
mischievous,0,0,0.07,0,0.01,0.71,0.12
crazy,0.06,0.14,0,0,0.03,0.73,0.06
juvenile,0.03,0.05,0,0,0,0.65,0.2
immature,0.02,0.04,0,0.03,0,0.68,0.21
childish,0,0.06,0.02,0.01,0,0.71,0.08
vile,0.02,0.11,0.03,0,0,0,0.8
inhumane,0,0.01,0.01,0.01,0,0,0.89
sinister,0,0,0.01,0,0.01,0,0.96
creepy,0,0,0,0,0.02,0.04,0.92
repulsive,0,0,0,0,0.01,0.01,0.91
despicable,0.01,0,0.01,0,0,0,0.94
malicious,0,0,0.01,0.02,0,0.02,0.94
grotesque,0,0.02,0,0,0.03,0.05,0.88
sleazy,0,0.01,0.03,0.02,0,0.02,0.9
cruel,0.04,0.03,0.03,0.03,0,0.01,0.88
